id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.9785883454937006,0.3886764331352195,0.46326912226718386,0.8984585817401409,0.6113235668647821
1,I don't know,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
2,acorn,-0.0,nan,1.0,1.0,1.0
3,he is putting on clothes,0.0,0.0,1.0,1.0,1.0
4,wait golden,0.0,0.0,1.0,1.0,1.0
5,um I forgot,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
6,skyder,-0.0,nan,1.0,1.0,1.0
7,this boy is throwing a paper airplane,0.5714285714285712,0.1133049180745301,0.7964530359382731,1.0,0.8866950819254699
8,tuhabeltable,-0.0,nan,1.0,1.0,1.0
9,TirTirma hugged Jamie,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
10,crown,-0.0,nan,1.0,1.0,1.0
11,just like,0.0,0.0,1.0,1.0,1.0
12,the boy woke up,0.0,0.0,1.0,1.0,1.0
13,it 's like very wavy,0.40000000000000036,0.09425390072448082,1.0,0.8277293767706427,0.9057460992755192
14,two slide,0.0,0.0,1.0,1.0,1.0
15,zeburt ?,0.0,0.0,1.0,1.0,1.0
16,one brib,0.0,0.0,1.0,1.0,1.0
17,his shoelaces broke,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
18,and fish,0.0,0.0,1.0,1.0,1.0
19,getting some milk,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
20,do farm stuff,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
21,yeah kells,0.0,0.0,1.0,1.0,1.0
22,elephant,-0.0,nan,1.0,1.0,1.0
23,probably like a sun,0.0,0.0,1.0,1.0,1.0
24,plants,-0.0,nan,1.0,1.0,1.0
25,but Jessie said no,0.0,0.0,1.0,1.0,1.0
26,Johnny was happy too,0.0,0.0,1.0,1.0,1.0
27,planets,-0.0,nan,1.0,1.0,1.0
28,she is painting a picture,0.0,0.0,1.0,1.0,1.0
29,I don't know,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
30,but there is,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
31,a man,0.0,0.0,1.0,1.0,1.0
32,it was scary,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
33,and then he went outside,0.0,0.0,1.0,1.0,1.0
34,a thousand,0.0,0.0,1.0,1.0,1.0
35,a door,0.0,0.0,1.0,1.0,1.0
36,eating candy,0.0,0.0,1.0,1.0,1.0
37,they 're building ?,0.0,0.0,1.0,1.0,1.0
38,studying electricity,0.0,0.0,1.0,1.0,1.0
39,fifteen,-0.0,nan,1.0,1.0,1.0
40,and then I just clean it up,0.5714285714285721,0.11330491807453026,0.7964530359382731,1.0,0.8866950819254699
41,those are shells,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
42,first I,0.0,0.0,1.0,1.0,1.0
43,I think I remember,0.0,0.0,1.0,1.0,1.0
44,I think broccoli ?,0.0,0.0,1.0,1.0,1.0
45,cleaned himself off,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
46,it is very fun,0.0,0.0,1.0,1.0,1.0
47,his mother wanted a salad,0.0,0.0,1.0,1.0,1.0
48,seven !,0.0,0.0,1.0,1.0,1.0
49,c is for cookie,0.0,0.0,1.0,1.0,1.0
50,he fixed breakfast,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
51,snacks,-0.0,nan,1.0,1.0,1.0
52,alright,-0.0,nan,1.0,1.0,1.0
53,she 's wearing garden gear,0.0,0.0,1.0,1.0,1.0
54,I like,0.0,0.0,1.0,1.0,1.0
55,but Samantha ran over to the aliens,0.5714285714285721,0.11330491807453026,0.7964530359382731,1.0,0.8866950819254699
56,f fish Frank,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
57,two snacks,0.0,0.0,1.0,1.0,1.0
58,I have two favorites,0.0,0.0,1.0,1.0,1.0
59,mm I don't know,0.0,0.0,1.0,1.0,1.0
60,apple,-0.0,nan,1.0,1.0,1.0
61,or like artist,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
62,yuhogurtyogurt,-0.0,nan,1.0,1.0,1.0
63,two hundred,0.0,0.0,1.0,1.0,1.0
64,The Loner ?,4.440892098500626e-16,1.4009454786722165e-16,1.0,1.0,1.0
